"MMM-YYYY","JPY/USD","JPY/CAD","JPY/EUR","JPY/GBP","JPY/CHF","JPY/AUD","JPY/HKD","JPY/NZD","JPY/KRW","JPY/MXN"
"Jun-2006",114.617,102.909,145.107,211.28,93.026,84.794,14.7629,70.907,0.120064,10.0590
"Jul-2006",115.744,102.502,146.767,213.48,93.523,87.124,14.8890,71.474,0.121693,10.5414
"Aug-2006",115.978,103.709,148.531,219.56,94.114,88.487,14.9139,73.642,0.120659,10.6654
"Sep-2006",117.219,105.019,149.117,220.80,94.106,88.470,15.0611,76.760,0.123077,10.6659
"Oct-2006",118.608,105.096,149.647,222.55,94.121,89.467,15.2350,78.511,0.124468,10.8962
"Nov-2006",117.227,103.175,151.143,224.26,94.954,90.644,15.0643,78.509,0.125309,10.7382
"Dec-2006",117.224,101.674,154.848,230.13,96.941,92.125,15.0804,81.210,0.126714,10.8002
"Jan-2007",120.451,102.432,156.459,235.92,96.874,94.255,15.4421,83.662,0.128561,10.9939
"Feb-2007",120.460,102.900,157.593,235.91,97.216,94.326,15.4203,83.556,0.128549,10.9559
"Mar-2007",117.260,100.372,155.307,228.33,96.274,92.969,15.0075,81.987,0.124317,10.5478
"Apr-2007",118.918,104.841,160.758,236.50,98.122,98.425,15.2154,87.393,0.127764,10.8293
"May-2007",120.779,110.303,163.259,239.71,98.912,99.684,15.4471,88.555,0.130228,11.1593
"Jun-2007",122.689,115.186,164.650,243.73,99.502,103.333,15.7002,92.855,0.132180,11.3245
"Jul-2007",121.420,115.597,166.657,247.13,100.582,105.315,15.5272,95.407,0.132204,11.2266
"Aug-2007",116.650,110.227,158.829,234.43,96.919,96.437,14.9264,84.287,0.124708,10.5576
"Sep-2007",115.002,112.154,160.100,232.12,97.121,97.417,14.7781,82.664,0.123816,10.4235
"Oct-2007",115.818,118.767,164.874,236.83,98.651,104.158,14.9351,88.009,0.126574,10.7031
"Nov-2007",111.036,114.761,163.044,229.82,98.876,99.399,14.2756,84.688,0.120880,10.2025
"Dec-2007",112.358,111.999,163.596,226.68,98.592,97.933,14.4083,86.366,0.120693,10.3564
"Jan-2008",107.724,106.530,158.497,212.09,97.848,94.932,13.8018,83.204,0.114260,9.8742
"Feb-2008",107.083,107.188,157.967,210.29,98.267,97.765,13.7344,85.303,0.113432,9.9455
"Mar-2008",100.800,100.582,156.478,201.82,99.547,93.020,12.9535,80.699,0.102701,9.3904
"Apr-2008",102.672,101.264,161.736,203.43,101.276,95.550,13.1778,81.056,0.104018,9.7639
"May-2008",104.311,104.378,162.361,205.13,99.968,99.036,13.3745,81.173,0.100725,9.9919
"Jun-2008",106.908,105.152,166.355,210.21,103.077,101.674,13.6928,81.395,0.103616,10.3515
"Jul-2008",106.890,105.556,168.411,212.54,103.930,102.868,13.7032,80.655,0.105282,10.4708
"Aug-2008",109.422,103.781,163.257,205.90,100.772,96.134,14.0139,77.458,0.104394,10.8068
"Sep-2008",106.572,100.704,152.752,191.48,95.994,86.982,13.6883,71.760,0.093880,9.9913
"Oct-2008",99.944,84.214,132.281,168.06,87.379,68.218,12.8812,60.422,0.075200,7.8859
"Nov-2008",96.871,79.491,123.490,148.32,81.274,63.746,12.4980,54.639,0.069001,7.3768
"Dec-2008",91.290,73.964,122.939,135.63,79.864,61.254,11.7785,50.955,0.066867,6.8013
"Jan-2009",90.162,73.504,119.285,130.23,79.987,60.743,11.6239,49.461,0.066442,6.4886
"Feb-2009",92.786,74.532,118.721,133.72,79.715,60.313,11.9669,47.846,0.064469,6.3554
"Mar-2009",97.853,77.391,127.603,138.60,84.684,65.137,12.6210,52.035,0.067377,6.6789
"Apr-2009",98.856,80.766,130.473,145.44,86.131,70.728,12.7553,56.545,0.074114,7.3647
"May-2009",96.562,83.921,131.990,149.10,87.333,73.926,12.4582,58.153,0.076940,7.3195
"Jun-2009",96.616,85.757,135.388,158.12,89.379,77.511,12.4658,61.670,0.076515,7.2409
"Jul-2009",94.256,83.985,132.738,154.27,87.383,75.776,12.1618,60.691,0.074692,7.0451
"Aug-2009",94.878,87.184,135.296,156.64,88.785,79.230,12.2413,64.232,0.076457,7.2954
"Sep-2009",91.273,84.378,133.017,148.93,87.840,78.678,11.7767,64.280,0.075263,6.8064
"Oct-2009",90.357,85.658,133.893,146.41,88.457,81.872,11.6589,66.700,0.076909,6.8291
"Nov-2009",89.109,84.101,132.873,147.84,87.991,81.896,11.4979,64.953,0.076598,6.7989
"Dec-2009",89.850,85.213,131.056,145.88,87.245,81.105,11.5897,64.423,0.077151,6.9871
"Jan-2010",91.064,87.306,129.929,147.19,88.067,83.145,11.7311,66.157,0.080008,7.1125
"Feb-2010",90.139,85.288,123.259,140.76,84.039,79.829,11.6049,62.832,0.077946,6.9648
"Mar-2010",90.710,88.666,123.089,136.58,85.038,82.739,11.6874,63.809,0.079819,7.2163
"Apr-2010",93.429,92.957,125.301,143.27,87.373,86.551,12.0356,66.548,0.083762,7.6333
"May-2010",92.002,88.449,115.436,134.90,81.424,80.032,11.8173,64.158,0.078950,7.2277
"Jun-2010",90.818,87.496,110.992,134.08,80.710,77.500,11.6611,62.865,0.074762,7.1432
"Jul-2010",87.517,83.933,112.111,133.89,83.112,76.822,11.2556,62.487,0.072686,6.8311
"Aug-2010",85.329,81.932,109.948,133.50,82.135,76.749,10.9807,60.904,0.072264,6.6782
"Sep-2010",84.353,81.652,110.462,131.49,84.325,79.242,10.8638,61.469,0.072625,6.5906
"Oct-2010",81.730,80.286,113.606,129.66,84.355,80.233,10.5343,61.455,0.072800,6.5699
"Nov-2010",82.562,81.525,112.594,131.69,83.794,81.599,10.6461,63.707,0.072996,6.6907
"Dec-2010",83.285,82.648,110.202,129.98,86.032,82.740,10.7140,62.642,0.072713,6.7221
"Jan-2011",82.684,83.195,110.482,130.64,86.291,82.258,10.6263,63.289,0.073885,6.8233
"Feb-2011",82.561,83.602,112.746,133.16,86.925,83.252,10.5989,62.896,0.073829,6.8426
"Mar-2011",81.642,83.594,114.449,131.91,88.878,82.537,10.4781,60.579,0.072873,6.8046
"Apr-2011",83.232,86.866,120.307,136.27,92.731,88.055,10.7092,65.638,0.076754,7.1071
"May-2011",81.088,83.772,116.301,132.56,92.912,86.617,10.4297,64.624,0.074812,6.9607
"Jun-2011",80.430,82.345,115.827,130.43,95.735,85.379,10.3309,65.593,0.074409,6.8122
"Jul-2011",79.222,82.936,113.078,128.01,96.454,85.390,10.1703,67.170,0.074893,6.7868
"Aug-2011",76.968,78.311,110.355,125.91,98.657,80.652,9.8714,64.329,0.071578,6.2777
"Sep-2011",76.797,76.595,105.534,121.08,87.581,78.398,9.8526,62.277,0.068410,5.8773
"Oct-2011",76.642,75.154,105.212,120.82,85.546,77.834,9.8540,60.596,0.066586,5.7028
"Nov-2011",77.545,75.591,105.031,122.43,85.347,78.226,9.9647,59.653,0.068324,5.6521
"Dec-2011",77.803,75.997,102.354,121.23,83.354,78.721,10.0041,59.875,0.067757,5.6516
"Jan-2012",76.957,75.949,99.245,119.38,82.001,80.100,9.9134,61.633,0.067410,5.7465
"Feb-2012",78.497,78.770,103.910,124.07,86.082,84.259,10.1226,65.557,0.069906,6.1448
"Mar-2012",82.463,82.972,108.906,130.47,90.302,86.789,10.6237,67.600,0.073201,6.4647
"Apr-2012",81.230,81.833,106.919,130.00,88.951,84.080,10.4653,66.446,0.071528,6.2188
"May-2012",79.678,78.895,101.905,126.79,84.833,79.478,10.2631,61.682,0.068860,5.8455
"Jun-2012",79.317,77.149,99.464,123.37,82.821,79.176,10.2223,61.887,0.068138,5.6970
"Jul-2012",78.953,77.870,96.896,123.07,80.682,81.330,10.1794,63.047,0.069109,5.9075
"Aug-2012",78.720,79.342,97.644,123.78,81.302,82.403,10.1491,63.750,0.069522,5.9700
"Sep-2012",78.139,79.872,100.665,126.00,83.247,81.304,10.0771,64.051,0.069538,6.0463
"Oct-2012",79.012,80.041,102.503,127.04,84.740,81.354,10.1930,64.760,0.071430,6.1261
"Nov-2012",81.097,81.335,104.107,129.47,86.387,84.361,10.4635,66.434,0.074565,6.2080
"Dec-2012",83.669,84.553,109.698,135.07,90.750,87.609,10.7957,69.602,0.077744,6.5074
"Jan-2013",89.078,89.792,118.473,142.15,96.417,93.529,11.4893,74.554,0.083483,7.0154
"Feb-2013",93.000,92.090,124.095,143.87,100.941,95.866,11.9917,77.957,0.085487,7.3077
"Mar-2013",94.794,92.507,122.845,142.90,100.164,98.025,12.2171,78.496,0.085955,7.5763
"Apr-2013",97.725,95.936,127.266,149.60,104.328,101.431,12.5884,82.838,0.087156,8.0044
"May-2013",100.831,98.880,130.945,154.18,105.537,99.903,12.9909,83.125,0.090684,8.1940
"Jun-2013",97.208,94.255,128.287,150.60,104.178,91.733,12.5263,76.804,0.085605,7.4988
"Jul-2013",99.693,95.836,130.407,151.23,105.451,91.216,12.8524,78.604,0.088564,7.8124
"Aug-2013",97.779,93.943,130.200,151.67,105.597,88.402,12.6078,77.434,0.087570,7.5662
"Sep-2013",99.215,95.932,132.565,157.56,107.480,92.287,12.7945,80.945,0.091644,7.5998
"Oct-2013",97.785,94.356,133.426,157.40,108.344,93.059,12.6112,81.580,0.091692,7.5259
"Nov-2013",100.173,95.479,135.183,161.37,109.753,93.279,12.9215,82.656,0.094329,7.6685
"Dec-2013",103.388,97.177,141.722,169.35,115.753,92.885,13.3341,85.048,0.097895,7.9477
"Jan-2014",103.788,94.844,141.304,170.90,114.793,91.881,13.3782,85.862,0.097218,7.8482
"Feb-2014",102.128,92.381,139.549,169.08,114.260,91.630,13.1630,84.715,0.095300,7.6823
"Mar-2014",102.339,92.138,141.503,170.11,116.222,92.996,13.1856,87.368,0.095555,7.7566
"Apr-2014",102.452,93.213,141.482,171.56,116.047,95.416,13.2124,88.165,0.098212,7.8394
"May-2014",101.810,93.458,139.826,171.47,114.593,94.672,13.1325,87.562,0.099305,7.8724
"Jun-2014",102.059,94.234,138.747,172.55,113.929,95.573,13.1660,87.971,0.100142,7.8542
"Jul-2014",101.770,94.766,137.683,173.67,113.307,95.480,13.1309,88.369,0.099643,7.8322
"Aug-2014",102.961,94.224,137.043,171.87,113.151,95.827,13.2844,86.814,0.100528,7.8342
"Sep-2014",107.407,97.547,138.440,174.95,114.628,97.083,13.8542,87.335,0.103666,8.1145
"Oct-2014",108.026,96.343,136.948,173.63,113.374,94.845,13.9255,85.076,0.101829,8.0135
"Nov-2014",116.356,102.726,145.120,183.47,120.675,100.504,15.0051,91.149,0.105914,8.5412
"Dec-2014",119.323,103.466,147.105,186.66,122.345,98.492,15.3878,92.644,0.108110,8.2169
"Jan-2015",118.217,97.569,137.235,178.99,125.621,95.373,15.2472,90.199,0.108608,8.0440
"Feb-2015",118.750,95.000,134.772,182.00,126.836,92.575,15.3120,88.486,0.107718,7.9599
"Mar-2015",120.406,95.420,130.233,180.06,122.883,92.980,15.5189,89.793,0.108083,7.9017
"Apr-2015",119.537,96.944,129.237,178.90,124.512,92.543,15.4221,90.782,0.110109,7.8567
"May-2015",120.854,99.201,134.721,186.62,129.575,95.248,15.5883,89.151,0.110469,7.9056
"Jun-2015",123.719,100.050,138.858,192.66,132.714,95.441,15.9576,86.382,0.111070,7.9918
"Jul-2015",123.291,95.844,135.586,191.80,129.146,91.226,15.9051,81.942,0.107473,7.7305
"Aug-2015",122.935,93.489,136.992,191.46,126.945,89.654,15.8558,80.444,0.104264,7.4225
"Sep-2015",120.141,90.556,134.886,184.25,123.525,84.784,15.5015,76.148,0.101363,7.1337
"Oct-2015",120.051,91.835,134.768,184.17,123.923,86.420,15.4902,80.313,0.104920,7.2441
"Nov-2015",122.633,92.345,131.453,186.26,121.359,87.669,15.8217,80.377,0.106202,7.3747
"Dec-2015",121.692,88.787,132.436,182.33,122.237,88.167,15.7003,82.039,0.103564,7.1313
"Jan-2016",118.186,83.088,128.302,169.98,117.227,82.748,15.1861,77.141,0.098142,6.5376
"Feb-2016",114.562,83.050,127.073,163.64,115.483,81.731,14.7187,75.979,0.094115,6.2148
"Mar-2016",112.919,85.381,125.681,160.94,115.061,84.708,14.5497,76.180,0.095436,6.4026
"Apr-2016",109.528,85.446,124.263,156.80,113.684,83.925,14.1219,75.475,0.095506,6.2648
"May-2016",108.919,84.168,123.176,158.27,111.401,79.682,14.0288,74.100,0.092698,6.0062
"Jun-2016",106.192,82.592,119.759,153.26,109.807,78.556,13.6790,74.628,0.091074,5.7034
