"MMM YYYY","USD/JPY","CAD/JPY","EUR/JPY","GBP/JPY","CHF/JPY","AUD/JPY","HKD/JPY","NZD/JPY","KRW/JPY","MXN/JPY"
"Jun-2006",0.0087247,0.0097173,0.0068915,0.0047330,0.0107496,0.0117932,0.067737,0.014103,8.3289,0.099414
"Jul-2006",0.0086398,0.0097559,0.0068135,0.0046842,0.0106926,0.0114779,0.067164,0.013991,8.2174,0.094864
"Aug-2006",0.0086223,0.0096424,0.0067326,0.0045547,0.0106255,0.0113011,0.067052,0.013579,8.2878,0.093761
"Sep-2006",0.0085310,0.0095220,0.0067061,0.0045289,0.0106263,0.0113033,0.066396,0.013028,8.1250,0.093756
"Oct-2006",0.0084311,0.0095151,0.0066824,0.0044933,0.0106247,0.0111773,0.065638,0.012737,8.0342,0.091775
"Nov-2006",0.0085305,0.0096923,0.0066162,0.0044591,0.0105314,0.0110322,0.066382,0.012737,7.9803,0.093126
"Dec-2006",0.0085307,0.0098353,0.0064579,0.0043454,0.0103156,0.0108548,0.066311,0.012314,7.8918,0.092590
"Jan-2007",0.0083021,0.0097626,0.0063915,0.0042386,0.0103226,0.0106096,0.064758,0.011953,7.7784,0.090959
"Feb-2007",0.0083015,0.0097181,0.0063455,0.0042390,0.0102863,0.0106016,0.064850,0.011968,7.7791,0.091275
"Mar-2007",0.0085281,0.0099630,0.0064389,0.0043797,0.0103870,0.0107563,0.066633,0.012197,8.0439,0.094806
"Apr-2007",0.0084092,0.0095382,0.0062205,0.0042283,0.0101914,0.0101600,0.065723,0.011443,7.8269,0.092342
"May-2007",0.0082796,0.0090660,0.0061252,0.0041717,0.0101100,0.0100317,0.064737,0.011292,7.6788,0.089611
"Jun-2007",0.0081507,0.0086816,0.0060735,0.0041030,0.0100501,0.0096774,0.063693,0.010769,7.5655,0.088304
"Jul-2007",0.0082359,0.0086508,0.0060004,0.0040465,0.0099421,0.0094953,0.064403,0.010481,7.5641,0.089074
"Aug-2007",0.0085726,0.0090722,0.0062961,0.0042656,0.0103179,0.0103695,0.066995,0.011864,8.0187,0.094719
"Sep-2007",0.0086955,0.0089163,0.0062461,0.0043081,0.0102964,0.0102652,0.067668,0.012097,8.0765,0.095937
"Oct-2007",0.0086343,0.0084198,0.0060652,0.0042225,0.0101368,0.0096008,0.066956,0.011363,7.9005,0.093431
"Nov-2007",0.0090061,0.0087138,0.0061333,0.0043513,0.0101137,0.0100605,0.070050,0.011808,8.2727,0.098015
"Dec-2007",0.0089001,0.0089287,0.0061126,0.0044115,0.0101428,0.0102110,0.069404,0.011579,8.2855,0.096559
"Jan-2008",0.0092830,0.0093870,0.0063093,0.0047149,0.0102199,0.0105339,0.072454,0.012019,8.7520,0.101274
"Feb-2008",0.0093385,0.0093294,0.0063304,0.0047552,0.0101764,0.0102286,0.072810,0.011723,8.8159,0.100548
"Mar-2008",0.0099207,0.0099421,0.0063907,0.0049548,0.0100455,0.0107503,0.077199,0.012392,9.7370,0.106492
"Apr-2008",0.0097397,0.0098751,0.0061829,0.0049157,0.0098740,0.0104657,0.075885,0.012337,9.6137,0.102419
"May-2008",0.0095868,0.0095806,0.0061591,0.0048750,0.0100032,0.0100973,0.074769,0.012319,9.9280,0.100081
"Jun-2008",0.0093538,0.0095100,0.0060112,0.0047571,0.0097014,0.0098354,0.073031,0.012286,9.6511,0.096605
"Jul-2008",0.0093554,0.0094737,0.0059378,0.0047051,0.0096218,0.0097212,0.072975,0.012398,9.4983,0.095503
"Aug-2008",0.0091390,0.0096357,0.0061253,0.0048566,0.0099234,0.0104022,0.071358,0.012910,9.5791,0.092534
"Sep-2008",0.0093834,0.0099301,0.0065465,0.0052226,0.0104173,0.0114967,0.073055,0.013935,10.6519,0.100087
"Oct-2008",0.0100056,0.0118745,0.0075597,0.0059504,0.0114444,0.0146588,0.077633,0.016550,13.2979,0.126808
